id,Nom du terril,Adresse exacte,Espace protégé ?,Commune,Organisme gestionnaire,Adresse organisme,Contact principal,Email,Téléphone,Déjà contacté ?,Prochaine relance,Gare la plus proche,Commune de la gare,Distance à pieds,Notes,Photo du terril
87,"Terril n°65, 10 de Béthune Est",,UNESCO (à vérifier),Aix-Noulette,,,,,,,,,,,,
88,"Terril n°65A, 10 de Béthune Ouest",,UNESCO (à vérifier),Sains-en-Gohelle,,,,,,,,,,,,
89,"Terril n°66, 11 de Nœux",,UNESCO (à vérifier),Fouquières-lès-Béthune et Béthune,,,,,,,,,,,,
90,"Terril n°67, 13 bis de Lens",,UNESCO (à vérifier),Bénifontaine,,,,,,,,,,,,
91,"Terril n°68, 9 de Lens",,UNESCO (à vérifier),Lens,,,,,,,,,,,,
92,"Terril n°68A, Cavalier du 9 de Lens",,UNESCO (à vérifier),Lens,,,,,,,,,,,,
93,"Terril n°69, 2 de Meurchin",,UNESCO (à vérifier),Meurchin,,,,,,,,,,,,
94,"Terril n°69A, Cavalier du 2 de Meurchin",,UNESCO (à vérifier),Meurchin,,,,,,,,,,,,
95,"Terril n°70, 3 - 4 de Meurchin Est chemin des îles",,UNESCO (à vérifier),Billy-Berclau,,,,,,,,,,,,
96,"Terril n°70A, 3 - 4 de Meurchin Ouest chemin des îles",,UNESCO (à vérifier),Douvrin,,,,,,,,,,,,
97,"Terril n°70B, Acacias",,UNESCO (à vérifier),Wingles,,,,,,,,,,,,
98,"Terril n°70C1+C2, 3 - 4 de Meurchin",,UNESCO (à vérifier),Wingles,,,,,,,,,,,,
99,"Terril n°70D, 3 - 4 de Meurchin marais à tanches",,UNESCO (à vérifier),Wingles,,,,,,,,,,,,
100,"Terril n°70E, 3 - 4 de Meurchin marais des îles",,UNESCO (à vérifier),Meurchin,,,,,,,,,,,,
101,"Terril n°71, 2 de Liévin",,UNESCO (à vérifier),Liévin,,,,,,,,,,,,
102,"Terril n°72, 5 de Liévin",,UNESCO (à vérifier),Liévin,,,,,,,,,,,,
